Date,Open,High,Low,Close
2017-07-18,1.3055,1.3125,1.3005,1.3041
2017-07-19,1.304,1.3053,1.3011,1.3025
2017-07-20,1.3021,1.3033,1.2933,1.2973
2017-07-21,1.2974,1.3021,1.2953,1.2997
2017-07-24,1.2997,1.3058,1.299,1.3029
2017-07-25,1.3027,1.3084,1.301,1.3026
2017-07-26,1.3024,1.3125,1.3002,1.3122
2017-07-27,1.312,1.3159,1.3055,1.3066
2017-07-28,1.3068,1.3152,1.3061,1.3136
2017-07-31,1.3136,1.3223,1.3097,1.3215
2017-08-01,1.3216,1.3244,1.319,1.3205
2017-08-02,1.3204,1.325,1.3192,1.3224
2017-08-03,1.3223,1.3262,1.3112,1.3138
2017-08-04,1.3139,1.3165,1.3023,1.3039
2017-08-07,1.3039,1.306,1.3014,1.3036
2017-08-08,1.3035,1.3055,1.2953,1.2993
2017-08-09,1.2991,1.3029,1.2968,1.3004
2017-08-10,1.3005,1.3017,1.2954,1.2978
2017-08-11,1.2977,1.303,1.2941,1.3011
2017-08-14,1.3011,1.3023,1.2957,1.2964
2017-08-15,1.2965,1.2971,1.2846,1.2868
2017-08-16,1.287,1.2903,1.2842,1.2891
2017-08-17,1.289,1.291,1.2852,1.2868
2017-08-18,1.2867,1.2916,1.2832,1.2876
2017-08-21,1.2876,1.2917,1.285,1.29
2017-08-22,1.2899,1.291,1.2811,1.2823
2017-08-23,1.2824,1.2835,1.278,1.2799
2017-08-24,1.28,1.2838,1.2774,1.2801
2017-08-25,1.28,1.2888,1.2794,1.2881
2017-08-28,1.2881,1.2944,1.2873,1.2933
2017-08-29,1.2932,1.2979,1.2915,1.2919
2017-08-30,1.2918,1.2939,1.2879,1.2925
2017-08-31,1.2924,1.2935,1.2853,1.2931
2017-09-01,1.2929,1.2996,1.2905,1.2952
2017-09-04,1.2952,1.2967,1.2913,1.2932
2017-09-05,1.2933,1.3043,1.291,1.3033
2017-09-06,1.3034,1.3083,1.3018,1.3042
2017-09-07,1.3043,1.3116,1.3033,1.3102
2017-09-08,1.3103,1.3224,1.3094,1.3197
2017-09-11,1.3197,1.3222,1.316,1.316
2017-09-12,1.3165,1.3298,1.316,1.3284
2017-09-13,1.3282,1.3329,1.3185,1.321
2017-09-14,1.3211,1.3406,1.3187,1.3398
2017-09-15,1.3396,1.3615,1.3379,1.3592
2017-09-18,1.3592,1.3617,1.3465,1.3494
2017-09-19,1.3495,1.3553,1.3468,1.3511
2017-09-20,1.351,1.3658,1.3457,1.3494
2017-09-21,1.3493,1.3588,1.3471,1.3582
2017-09-22,1.358,1.3596,1.3452,1.3495
2017-09-25,1.3495,1.3571,1.3431,1.3469
2017-09-26,1.3465,1.3514,1.3409,1.346
2017-09-27,1.3458,1.3462,1.3364,1.3386
2017-09-28,1.3384,1.3456,1.3343,1.3441
2017-09-29,1.3443,1.3444,1.335,1.3399
2017-10-02,1.3399,1.3399,1.3256,1.3277
2017-10-03,1.3275,1.3288,1.3222,1.3239
2017-10-04,1.3238,1.329,1.3232,1.3246
2017-10-05,1.3248,1.325,1.3108,1.3118
2017-10-06,1.3119,1.3123,1.3027,1.3069
2017-10-09,1.3069,1.3184,1.3069,1.3141
2017-10-10,1.3142,1.3224,1.3131,1.3204
2017-10-11,1.3202,1.3235,1.3177,1.3223
2017-10-12,1.3221,1.329,1.3122,1.3262
2017-10-13,1.3263,1.3338,1.325,1.3285
2017-10-16,1.3285,1.3312,1.3226,1.325
2017-10-17,1.3251,1.3287,1.3154,1.319
2017-10-18,1.3191,1.3206,1.3141,1.3204
2017-10-19,1.3206,1.3229,1.3133,1.3159
2017-10-20,1.316,1.3201,1.3088,1.3188
2017-10-23,1.3188,1.3224,1.3158,1.3197
2017-10-24,1.3198,1.3228,1.3113,1.3133
2017-10-25,1.3134,1.3271,1.311,1.3262
2017-10-26,1.3264,1.328,1.3148,1.316
2017-10-27,1.3162,1.3164,1.3072,1.3127
2017-10-30,1.3127,1.3215,1.3127,1.3207
2017-10-31,1.3209,1.3289,1.3191,1.3283
2017-11-01,1.3284,1.3321,1.3231,1.3246
2017-11-02,1.3244,1.3299,1.3043,1.3058
2017-11-03,1.306,1.3133,1.304,1.3075
2017-11-06,1.3075,1.3175,1.3058,1.3171
2017-11-07,1.3172,1.3178,1.311,1.3168
2017-11-08,1.3167,1.3176,1.3087,1.3117
2017-11-09,1.3116,1.3153,1.3085,1.3146
2017-11-10,1.3191,1.3191,1.3191,1.3191
2017-11-13,1.3137,1.3137,1.3062,1.3115
2017-11-14,1.3116,1.3187,1.3076,1.3165
2017-11-15,1.3164,1.3213,1.313,1.317
2017-11-16,1.3173,1.3208,1.3135,1.3196
2017-11-17,1.3195,1.326,1.3171,1.3216
2017-11-20,1.3216,1.3277,1.3186,1.3233
2017-11-21,1.3235,1.3268,1.3211,1.3237
2017-11-22,1.3239,1.333,1.3214,1.3324
2017-11-23,1.3322,1.3337,1.3285,1.3307
2017-11-24,1.3308,1.336,1.3278,1.3332
2017-11-27,1.3332,1.3383,1.331,1.3319
